Year          , Make          , Model         , Car_ID        , total_score   , ranking         
2010          , Infiniti      , G37           , 128           , 128           , 1              
2015          , Jeep          , Wrangler      , 124           , 124           , 2              
2014          , Audi          , S4            , 15            , 120           , 3              
2012          , Acura         , Tsx sportwagon, 113           , 116           , 4              
2014          , Honda         , Accord        , 83            , 112           , 5              
2008          , Acura         , TL            , 112           , 110           , 6              
2009          , Honda         , Fit           , 65            , 106           , 7              
2015          , Acura         , TLX           , 114           , 102           , 8              
2010          , Mitsu         , Lancer        , 91            , 102           , 9              
2007          , Honda         , Fit           , 31            , 102           , 10             
2007          , Chrystler     , 300           , 216           , 96            , 11             
2016          , Honda         , Civic 1.5t    , 37            , 92            , 12             
2010          , Volkswagen    , Eos           , 126           , 92            , 13             
2010          , Nissan        , 370           , 228           , 92            , 14             
2006          , Honda         , Civic         , 175           , 92            , 15             
2013          , Acura         , Tsx           , 127           , 86            , 16             
2010          , Honda         , Civic         , 63            , 86            , 17             
2012          , Nissan        , 370z          , 161           , 84            , 18             
2011          , Nissan        , 370           , 153           , 84            , 19             
2011          , Volkswagen    , Gti           , 180           , 82            , 20             
2015          , Scion         , Frs           , 57            , 80            , 21             
2012          , Mercedes      , C250          , 25            , 78            , 22             
2007          , Acura         , Tl type s     , 106           , 78            , 23             
2016          , Subaru        , WRX           , 36            , 74            , 24             
2011          , Honda         , Civic         , 39            , 72            , 25             
2010          , Acura         , Tsx           , 103           , 72            , 26             
2009          , Honda         , Oddesy        , 178           , 72            , 27             
2012          , Mercedes      , Cl63amg       , 84            , 70            , 28             
2015          , Subaru        , Sti           , 33            , 68            , 29             
2012          , Hyundai       , Celoster      , 30            , 66            , 30             
2006          , Lexus         , Sc430         , 123           , 66            , 31             
2006          , Acura         , Tsx           , 1051          , 66            , 32             
2012          , Acura         , Tsx           , 41            , 64            , 33             
2010          , Chevy         , Camaro        , 218           , 64            , 34             
2007          , Nissan        , 350z          , 158           , 64            , 35             
2017          , Hyundai       , Elantra sport , 38            , 62            , 36             
2015          , Acura         , TLX           , 48            , 62            , 37             
2009          , Subaru        , WRX           , 21            , 62            , 38             
1998          , Subaru        , Legacy        , 23            , 62            , 39             
1990          , Nissan        , 240           , 12            , 62            , 40             
2016          , Honda         , Civic         , 35            , 60            , 41             
2013          , Subaru        , WRX           , 53            , 60            , 42             
2011          , Toyota        , Camry         , 110           , 58            , 43             
1993          , Toyota        , Supra         , 142           , 58            , 44             
2014          , Volkswagen    , Gli           , 156           , 56            , 45             
2001          , Honda         , Crv           , 115           , 56            , 46             
2017          , Ford          , Focus rs      , 137           , 54            , 47             
2016          , Volkswagen    , Golf r        , 6             , 54            , 48             
2015          , Subaru        , Sti           , 37            , 54            , 49             
2011          , Toyota        , 4 Runner      , 43            , 54            , 50             
2016          , Acura         , TLX           , 225           , 52            , 51             
2013          , Subaru        , WRX           , 134           , 52            , 52             
2015          , Subaru        , WRX           , 51            , 50            , 53             
2014          , Chevy         , Cruze         , 170           , 50            , 54             
2012          , Toyota        , Fj cruiser    , 189           , 50            , 55             
2003          , Acura         , Rsx           , 5             , 50            , 56             
2014          , Civic coupe   , Si            , 104           , 48            , 57             
2008          , Honda         , Accord        , 88            , 48            , 58             
2007          , Mazda         , Speed 3       , 52            , 48            , 59             
2004          , Acura         , Tsx           , 211           , 48            , 60             
2018          , Subaru        , WRX           , 232           , 46            , 61             
2014          , Nissan        , Gtr           , Showcar       , 44            , 62             
2012          , Acura         , TL            , 121           , 44            , 63             
2011          , Infinity      , M37s          , 122           , 44            , 64             
1996          , Nissan        , 240           , 9             , 44            , 65             
1995          , Mitsu         , Evo8          , 140           , 44            , 66             
1993          , Honda         , Civic         , 118           , 44            , 67             
1991          , Nissan        , Skyline       , 8             , 44            , 68             
2017          , Subaru        , Brz           , 153           , 42            , 69             
2017          , Honda         , Accord        , 85            , 42            , 70             
2009          , Volkswagen    , Jetta         , 56            , 42            , 71             
2006          , Acura         , TL            , 45            , 42            , 72             
1997          , Acura         , Integra       , 49            , 42            , 73             
2018          , Honda         , Civic si      , 44            , 40            , 74             
2015          , Lexus         , Is250         , 222           , 40            , 75             
2014          , Mitsu         , Lancer        , 176           , 40            , 76             
2001          , Mitsub        , Evo7          , 19            , 40            , 77             
1993          , Honda         , Civic eG      , 207           , 40            , 78             
2015          , Audi          , S3            , 18            , 38            , 79             
2014          , Civic         , Si            , 99            , 38            , 80             
2009          , Infinity      , G37           , 20            , 38            , 81             
2004          , Volkswagen    , R32           , 179           , 38            , 82             
1990          , Volkswagen    , Gti           , 145           , 38            , 83             
2016          , Subaru        , WRX           , 200           , 36            , 84             
2015          , Mazda         , 6             , 78            , 36            , 85             
2014          , Nissan        , 370z          , 162           , 36            , 86             
2016          , Mercedes      , C43           , 17            , 34            , 87             
2001          , Nissan        , S15           , 10            , 34            , 88             
2013          , Subaru        , BRZ           , 24            , 32            , 89             
2008          , Volkswagen    , R32           , 46            , 32            , 90             
1992          , Nissan        , Rps13         , 4341          , 32            , 91             
2017          , Hyundai       , Elantra sport , 92            , 30            , 92             
2014          , Nissan        , Sentra        , 7             , 30            , 93             
2014          , Ford          , Focus st      , 120           , 30            , 94             
2003          , Volkswagen    , Gti           , 181           , 30            , 95             
1991          , Nissan        , Skyline       , 11            , 30            , 96             
2016          , Volkswagen    , Gti           , 144           , 28            , 97             
2012          , Volkswagen    , Golf          , 59            , 28            , 98             
2008          , Audi          , A4            , 116           , 28            , 99             
1982          , Volkswagen    , Rabbit        , 238           , 28            , 100            
2016          , Ford          , Focus rs      , 219           , 26            , 101            
2014          , Nissan        , Maxima        , 242           , 26            , 102            
2012          , Benz          , C63           , 98            , 26            , 103            
2010          , Volkswagen    , Gti           , 114           , 26            , 104            
2007          , Subaru        , Legacy        , 187           , 26            , 105            
1993          , Mazda         , Miata         , 141           , 26            , 106            
1990          , Nissan        , Skyline       , 14            , 26            , 107            
2016          , Volkswagen    , GTI           , 81            , 24            , 108            
2016          , Honda         , Civic si      , 130           , 24            , 109            
2016          , Bmw           , M2            , 2             , 24            , 110            
2007          , Toyota        , Camry         , 241           , 24            , 111            
2007          , Honda         , Civic         , 22            , 24            , 112            
2014          , Bmw           , 4             , 172           , 22            , 113            
2013          , Mitsu         , Ralliart      , 163           , 22            , 114            
2006          , Volvo         , S60r          , 100           , 22            , 115            
2006          , Nissan        , 350z          , 150           , 22            , 116            
2005          , Acura         , TL            , 93            , 22            , 117            
2016          , Ford          , Mystang       , 167           , 20            , 118            
2013          , Scion         , Frs           , 235           , 20            , 119            
2012          , Volkswagen    , Cc            , 182           , 20            , 120            
2004          , Acura         , Tsx           , 230           , 20            , 121            
2010          , Honda         , Fit           , 34            , 18            , 122            
2008          , Honda         , Accord        , 226           , 18            , 123            
1993          , Mazda         , Miata         , 79            , 18            , 124            
2014          , Honda         , Civic si      , 89            , 16            , 125            
2008          , Volkswagen    , Gli           , Vip           , 16            , 126            
2005          , Volkswagen    , Jetta         , 183           , 16            , 127            
2015          , Subaru        , Sti           , 67            , 14            , 128            
2014          , Nissan        , Ssntra        , 193           , 14            , 129            
2013          , Hyundai       , Gen coupe     , 159           , 14            , 130            
2013          , Audi          , S4            , 108           , 14            , 131            
2012          , Volkswagen    , Gli           , 186           , 14            , 132            
2007          , Honda         , Civic         , 59            , 14            , 133            
2004          , Audi          , A4            , 220           , 14            , 134            
2005          , Volkswagen    , Jetta gli     , 177           , 12            , 135            
2005          , Subaru        , Sti           , 76            , 12            , 136            
2004          , Infiniti      , G35           , 95            , 12            , 137            
2017          , Volkswagen    , Gti           , 96            , 10            , 138            
2015          , Honda         , Accord        , 102           , 10            , 139            
2013          , Nissan        , Altima        , 68            , 10            , 140            
2008          , Toyota        , Matrix        , 243           , 10            , 141            
2008          , Nissan        , 350z          , 16            , 10            , 142            
2007          , Bmw           , 328i          , 111           , 10            , 143            
2004          , Volkswagen    , Gti           , 94            , 10            , 144            
1995          , Lexus         , Sc300         , 190           , 10            , 145            
1990          , Mazda         , Miata         , 138           , 10            , 146            
1987          , Volkswagen    , Jetta         , 237           , 10            , 147            
2018          , Subaru        , WRX           , 69            , 8             , 148            
2015          , Honda         , Accord        , 74            , 8             , 149            
2013          , Volkswagen    , Jett          , 185           , 8             , 150            
2010          , Volkswagen    , Cc            , 184           , 8             , 151            
2001          , Dodge         , Viper         , 42            , 8             , 152            
1996          , Volkswagen    , Jetta         , 86            , 8             , 153            
1995          , Bmw           , 318xi         , 28            , 8             , 154            
2012          , Subaru        , WRX           , 75            , 6             , 155            
2012          , Subaru        , WRX           , 134           , 6             , 156            
2008          , Acura         , TL            , 71            , 6             , 157            
2007          , Subaru        , Legacy        , 187           , 6             , 158            
2004          , Subaru        , Forester      , 64            , 6             , 159            
2001          , Lexus         , Is300         , 212           , 6             , 160            
2016          , Civic         , Si            , 72            , 4             , 161            
2010          , Volkswagen    , Gti           , 66            , 4             , 162            
2006          , Acura         , Rsx           , 174           , 4             , 163            
2010          , Audi          , A4            , 197           , 2             , 164            
2015          , Chevy         , Camaro        , 0             , 0             , 165            
2014          , Honda         , Civic         , 70            , 0             , 166            
2014          , Honda         , Civic         , 101           , 0             , 167            
